"stage","log_parameter","finite_count","rms_nis","accepted_count","rejected_count","rejected_rate","segment_bucket_count"
"launch","forward_accel_nis","26200","11.06872170589545","26100","100","0.003816793893129771","90"
"launch","right_accel_nis","26200","6.613732754967107","25947","253","0.009656488549618321","90"
"launch","yaw_rate_nis","26200","5.101052121593519","26200","0","0","90"
"mixed_launch","forward_accel_nis","77263","22.012058264231865","76319","944","0.012218008619908623","160"
"mixed_launch","right_accel_nis","77263","15.032682561059369","74190","3073","0.03977324204341017","160"
"mixed_launch","yaw_rate_nis","77263","13.766063779678886","77263","0","0","160"
"SEC_20_LAUNCH","forward_accel_nis","52167","7.988812615197648","52053","114","0.0021852895508654895","210"
"SEC_20_LAUNCH","right_accel_nis","52167","3.635341200307972","51958","209","0.0040063641765867315","210"
"SEC_20_LAUNCH","yaw_rate_nis","52167","1.3354967136716456","52167","0","0","210"
"yaw_launch","forward_accel_nis","174625","97.54495591937638","147642","26983","0.15451968503937008","278"
"yaw_launch","right_accel_nis","174625","54.26685814016973","152701","21924","0.12554903364352182","278"
"yaw_launch","yaw_rate_nis","174625","127.29966495542521","174625","0","0","278"
